[rank1]:[W723 22:00:49.802009433 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W723 22:00:49.857492411 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[clip_pretrained] loaded 305 tensors from model/ViT-B-16.pt
[clip_pretrained] missing total=282 (visual2*/decoder*/classification* expected = 282; backbone gaps must be 0 -> 0 [])
[clip_pretrained] unexpected (ignored) = 3 ['input_resolution', 'context_length', 'vocab_size']
epoch=1 step=1/29520 loss=465.5833 Le=4.2371 Lc=3.0768 Ld=11.1054 lr=1.000e-08 peak_mem=23.79GiB
epoch=1 step=20/29520 loss=318.3740 Le=2.7638 Lc=3.0907 Ld=11.0899 lr=2.000e-07 peak_mem=25.49GiB
epoch=1 step=40/29520 loss=370.6447 Le=3.2910 Lc=3.0480 Ld=11.0607 lr=4.000e-07 peak_mem=25.49GiB
epoch=1 step=60/29520 loss=234.0964 Le=1.9181 Lc=3.1272 Ld=11.0131 lr=6.000e-07 peak_mem=25.49GiB
epoch=1 step=80/29520 loss=207.3915 Le=1.6501 Lc=3.1463 Ld=10.9232 lr=8.000e-07 peak_mem=25.49GiB
epoch=1 step=100/29520 loss=203.4714 Le=1.6236 Lc=3.0359 Ld=10.7556 lr=1.000e-06 peak_mem=25.49GiB
epoch=1 step=120/29520 loss=146.9340 Le=1.0591 Lc=3.0480 Ld=10.5477 lr=1.200e-06 peak_mem=25.49GiB
epoch=1 step=140/29520 loss=175.1484 Le=1.3320 Lc=3.1659 Ld=10.2895 lr=1.400e-06 peak_mem=25.49GiB
epoch=1 step=160/29520 loss=147.1594 Le=1.0588 Lc=3.1254 Ld=10.0235 lr=1.600e-06 peak_mem=25.49GiB
epoch=1 step=180/29520 loss=149.7095 Le=1.0803 Lc=3.1839 Ld=9.8363 lr=1.800e-06 peak_mem=25.49GiB
epoch=1 step=200/29520 loss=138.8934 Le=0.9773 Lc=3.1566 Ld=9.6005 lr=2.000e-06 peak_mem=25.49GiB
epoch=1 step=220/29520 loss=153.7773 Le=1.1369 Lc=3.0612 Ld=9.4771 lr=2.200e-06 peak_mem=25.49GiB
epoch=1 step=240/29520 loss=137.9933 Le=0.9689 Lc=3.1926 Ld=9.1733 lr=2.400e-06 peak_mem=25.49GiB
epoch=1 step=260/29520 loss=136.1523 Le=0.9657 Lc=3.0391 Ld=9.1956 lr=2.600e-06 peak_mem=25.49GiB
epoch=1 step=280/29520 loss=132.3978 Le=0.9325 Lc=3.0131 Ld=9.0127 lr=2.800e-06 peak_mem=25.49GiB
epoch=1 step=300/29520 loss=122.8868 Le=0.8316 Lc=3.0777 Ld=8.9524 lr=3.000e-06 peak_mem=25.49GiB
epoch=1 step=320/29520 loss=120.0765 Le=0.7999 Lc=3.1337 Ld=8.7494 lr=3.200e-06 peak_mem=25.49GiB
epoch=1 step=340/29520 loss=124.9107 Le=0.8434 Lc=3.1873 Ld=8.6928 lr=3.400e-06 peak_mem=25.49GiB
epoch=1 step=360/29520 loss=119.4946 Le=0.7987 Lc=3.1038 Ld=8.5877 lr=3.600e-06 peak_mem=25.49GiB
