epoch,loss,embedding,classification,decoder,consistency
1,94.102624,0.642113,2.301822,6.856442,0.016707
2,52.563875,0.306344,1.714683,4.760454,0.022151
3,42.309540,0.226008,1.544430,4.238898,0.025496
4,38.170467,0.199534,1.426885,3.920567,0.027681
5,33.298157,0.159217,1.364530,3.702505,0.028648
6,30.565807,0.137990,1.315822,3.578409,0.030140
7,29.213908,0.126344,1.306399,3.483816,0.031711
8,26.582033,0.103268,1.280712,3.415203,0.032940
9,25.626990,0.095432,1.266753,3.382320,0.033979
10,25.122904,0.092035,1.253284,3.352408,0.034149
